Binomial,Family,Genus,tiplabel,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Allophryne_ruthveni,Allophrynidae,Allophryne,Allophryne_ruthveni_Allophrynidae,Scansorial,Free-living larvae,Absent,23.76666667,1,0.991774825,3.2
Eupsophus_roseus,Alsodidae,Eupsophus,Eupsophus_roseus_Alsodidae,Ground-dwelling,Free-living larvae,Absent,38.375,7.5,1.927345095,5.3625
Alytes_obstetricans,Alytidae,Alytes,Alytes_obstetricans_Alytidae,Ground-dwelling,Free-living larvae,Absent,37.46666667,6.666666667,1.869060121,6.366666667
Discoglossus_pictus,Alytidae,Discoglossus,Discoglossus_pictus_Alytidae,Ground-dwelling,Free-living larvae,Absent,62.64,24.4,2.888546522,7.55
Allobates_femoralis,Aromobatidae,Allobates,Allobates_femoralis_Dendrobatidae,Ground-dwelling,Free-living larvae,Absent,25.6,2.1,1.254969682,4.116666667
Arthroleptis_poecilonotus,Arthroleptidae,Arthroleptis,Arthroleptis_poecilonotus_Arthroleptidae,Subfossorial,No free-living larvae,Absent,27.03333333,2.466666667,1.350761266,3.783333333
Arthroleptis_variabilis,Arthroleptidae,Arthroleptis,Arthroleptis_variabilis_Arthroleptidae,Subfossorial,No free-living larvae,Absent,38.4,5.533333333,1.764430532,4.75
Astylosternus_montanus,Arthroleptidae,Astylosternus,Astylosternus_montanus_Arthroleptidae,Ground-dwelling,Free-living larvae,NA,47.7,14.03333333,2.391979983,6.633333333
Leptodactylodon_ovatus,Arthroleptidae,Leptodactylodon,Leptodactylodon_ovatus_Arthroleptidae,Semiaquatic,Free-living larvae,Absent,34.56666667,5.833333333,1.750631255,4.25
Leptopelis_parkeri,Arthroleptidae,Leptopelis,Leptopelis_parkeri_Arthroleptidae,Scansorial,Free-living larvae,Present,51.16666667,6.666666667,1.81996652,7.55
Nyctibates_corrugatus,Arthroleptidae,Nyctibates,Nyctibates_corrugatus_Arthroleptidae,Ground-dwelling,Free-living larvae,Absent,54,12.2,2.286116877,7.5
Scotobleps_gabonicus,Arthroleptidae,Scotobleps,Scotobleps_gabonicus_Arthroleptidae,Ground-dwelling,Free-living larvae,Absent,49.2,11.83333333,2.278270139,7.533333333
Trichobatrachus_robustus,Arthroleptidae,Trichobatrachus,Trichobatrachus_robustus_Arthroleptidae,Semiaquatic,Free-living larvae,Absent,120.7428571,203.4285714,5.77248706,12.57142857
Ascaphus_truei,Ascaphidae,Ascaphus,Ascaphus_truei_Ascaphidae,Semiaquatic,Free-living larvae,Absent,38.95,6,1.809268122,5.5875
Batrachyla_leptopus,Batrachylidae,Batrachyla,Batrachyla_leptopus_Batrachylidae,Ground-dwelling,Free-living larvae,Absent,27.03333333,2,1.234056873,4.016666667
Batrachyla_taeniata,Batrachylidae,Batrachyla,Batrachyla_taeniata_Batrachylidae,Ground-dwelling,Free-living larvae,Absent,29.675,2.75,1.387373181,4.425
Barbourula_busuangensis,Bombinatoridae,Barbourula,Barbourula_busuangensis_Bombinatoridae,Aquatic,NA,Absent,59.475,24.25,2.733102465,8.2375
Bombina_microdeladigitora,Bombinatoridae,Bombina,Bombina_fortinuptialis_Bombinatoridae,Semiaquatic,Free-living larvae,Absent,76.6,51.25,3.706256274,8.675
Bombina_orientalis,Bombinatoridae,Bombina,Bombina_orientalis_Bombinatoridae,Semiaquatic,Free-living larvae,Absent,42.76666667,5.333333333,1.740547413,5.7
Brachycephalus_ephippium,Brachycephalidae,Brachycephalus,Brachycephalus_ephippium_Brachycephalidae,Subfossorial,No free-living larvae,Absent,16.3,0.833333333,0.93874059,2.4
Ischnocnema_parva,Brachycephalidae,Ischnocnema,Ischnocnema_parva_Brachycephalidae,Subfossorial,No free-living larvae,NA,19.64,1.05,1.016396357,2.375
Breviceps_mossambicus,Brevicipitidae,Breviceps,Breviceps_mossambicus_Brevicipitidae,Subfossorial,No free-living larvae,Absent,39.85,10.1,2.15297908,4.625
Callulina_kreffti,Brevicipitidae,Callulina,Callulina_kreffti_Brevicipitidae,Scansorial,No free-living larvae,Absent,28.73333333,2.833333333,1.40884111,3.933333333
Probreviceps_loveridgei,Brevicipitidae,Probreviceps,Probreviceps_loveridgei_Brevicipitidae,Subfossorial,No free-living larvae,Absent,43.06666667,10.43333333,2.12178802,4.533333333
Spelaeophryne_methneri,Brevicipitidae,Spelaeophryne,Spelaeophryne_methneri_Brevicipitidae,Subfossorial,NA,Absent,38.16666667,5.433333333,1.706811568,2.716666667
Adenomus_kelaartii,Bufonidae,Adenomus,Adenomus_kelaartii_Bufonidae,Subfossorial,Free-living larvae,Absent,41.35,6.35,1.851673064,4.65
Altiphrynoides_osgoodi,Bufonidae,Altiphrynoides,Altiphrynoides_osgoodi_Bufonidae,Ground-dwelling,Free-living larvae,Absent,43.5,8.066666667,1.981001301,4.6
Anaxyrus_cognatus,Bufonidae,Anaxyrus,Anaxyrus_cognatus_Bufonidae,Ground-dwelling,Free-living larvae,Absent,53.43333333,23.13333333,2.840184263,8.116666667
Anaxyrus_punctatus,Bufonidae,Anaxyrus,Anaxyrus_punctatus_Bufonidae,Ground-dwelling,Free-living larvae,Absent,49.36666667,11.16666667,2.207131947,6.083333333
Atelopus_senex,Bufonidae,Atelopus,Atelopus_senex_Bufonidae,Ground-dwelling,Free-living larvae,Present,28.03333333,1.533333333,1.15301186,3.6
Bufo_bufo,Bufonidae,Bufo,Bufo_bufo_Bufonidae,Ground-dwelling,Free-living larvae,Present,71.4,53.1,3.553428952,8.333333333
Bufotes_viridis,Bufonidae,Bufotes,Bufotes_viridis_Bufonidae,Ground-dwelling,Free-living larvae,Present,60.4,25.73333333,2.897255597,7.933333333
Duttaphrynus_melanostictus,Bufonidae,Duttaphrynus,Duttaphrynus_melanostictus_Bufonidae,Ground-dwelling,Free-living larvae,Absent,69.3,34.43333333,3.18759279,8.233333333
Duttaphrynus_stomaticus,Bufonidae,Duttaphrynus,Duttaphrynus_stomaticus_Bufonidae,Ground-dwelling,Free-living larvae,Present,59.43333333,22.86666667,2.838196022,7.1
Epidalea_calamita,Bufonidae,Epidalea,Epidalea_calamita_Bufonidae,Ground-dwelling,Free-living larvae,Absent,57.4,20.2,2.716064766,7.9
Incilius_luetkenii,Bufonidae,Incilius,Incilius_luetkenii_Bufonidae,Ground-dwelling,Free-living larvae,Present,37.3,3,1.44224957,5.9
Ingerophrynus_galeatus,Bufonidae,Ingerophrynus,Ingerophrynus_galeatus_Bufonidae,Ground-dwelling,Free-living larvae,Absent,72.7,45.63333333,3.5015351,8.066666667
Leptophryne_borbonica,Bufonidae,Leptophryne,Leptophryne_borbonica_Bufonidae,Subfossorial,Free-living larvae,Absent,29.83333333,3.3,1.473047669,3.883333333
Melanophryniscus_stelzneri,Bufonidae,Melanophryniscus,Melanophryniscus_stelzneri_Bufonidae,Ground-dwelling,Free-living larvae,Absent,30.2,2.9,1.423746704,3.7
Mertensophryne_micranotis,Bufonidae,Mertensophryne,Mertensophryne_micranotis_Bufonidae,Subfossorial,Free-living larvae,Present,18.53333333,0.6,0.841679064,2.316666667
Phrynoidis_asper,Bufonidae,Phrynoidis,Phrynoidis_aspera_Bufonidae,Semiaquatic,Free-living larvae,Absent,62.4,30.16666667,3.081674409,8.55
Phrynoidis_juxtasper,Bufonidae,Phrynoidis,Phrynoidis_juxtaspera_Bufonidae,Ground-dwelling,Free-living larvae,Absent,117.1333333,120.3666667,4.674728395,15
Rentapia_hosii,Bufonidae,Rentapia,Rentapia_hosii_Bufonidae,Scansorial,Free-living larvae,Present,84.575,51.3,3.662516333,9.65
Rhaebo_glaberrimus,Bufonidae,Rhaebo,Rhaebo_glaberrimus_Bufonidae,Ground-dwelling,Free-living larvae,Absent,105.2333333,94.23333333,4.362685679,13.86666667
Rhaebo_nasicus,Bufonidae,Rhaebo,Rhaebo_nasicus_Bufonidae,Subfossorial,NA,NA,56.86666667,16.06666667,2.422619354,7.533333333
Rhinella_marina,Bufonidae,Rhinella,Rhinella_marina_Bufonidae,Ground-dwelling,Free-living larvae,Present,113.8,138.3333333,5.152701151,14.31666667
Rhinella_ocellata,Bufonidae,Rhinella,Rhinella_ocellata_Bufonidae,Ground-dwelling,NA,Absent,46.2,14.1,2.415867089,6.3
Schismaderma_carens,Bufonidae,Schismaderma,Schismaderma_carens_Bufonidae,Ground-dwelling,Free-living larvae,Present,76.1,41.96666667,3.392832306,7.983333333
Sclerophrys_brauni,Bufonidae,Sclerophrys,Sclerophrys_brauni_Bufonidae,Ground-dwelling,Free-living larvae,Absent,82.03333333,48.46666667,3.600216798,9.933333333
Sclerophrys_maculata,Bufonidae,Sclerophrys,Sclerophrys_maculata_Bufonidae,Ground-dwelling,Free-living larvae,Absent,53.33333333,14.66666667,2.395503169,7.116666667
Calyptocephalella_gayi,Calyptocephalellidae,Calyptocephalella,Calyptocephalella_gayi_Calyptocephalellidae,Semiaquatic,Free-living larvae,Absent,134.9,384.3333333,7.253914614,13.1
Espadarana_prosoblepon,Centrolenidae,Espadarana,Espadarana_prosoblepon_Centrolenidae,Scansorial,Free-living larvae,Absent,24.36666667,0.766666667,0.914846512,3.733333333
Teratohyla_spinosa,Centrolenidae,Teratohyla,Teratohyla_spinosa_Centrolenidae,Scansorial,Free-living larvae,Absent,20.5,0.8,0.928317767,3.5
Cornufer_guppyi,Ceratobatrachidae,Cornufer,Cornufer_guppyi_Ceratobatrachidae,Ground-dwelling,No free-living larvae,NA,120.75,176.5,5.412687371,15.775
Platymantis_hazelae,Ceratobatrachidae,Platymantis,Platymantis_hazelae_Ceratobatrachidae,Scansorial,No free-living larvae,Absent,30.55,1.95,1.24703732,4.675
Ceratophrys_cornuta,Ceratophryidae,Ceratophrys,Ceratophrys_cornuta_Ceratophryidae,Subfossorial,Free-living larvae,Absent,87.5,111.3333333,4.726620717,10.7
Ceratophrys_ornata,Ceratophryidae,Ceratophrys,Ceratophrys_ornata_Ceratophryidae,Ground-dwelling,Free-living larvae,Absent,108.6333333,176.6666667,5.603398013,10.76666667
Lepidobatrachus_laevis,Ceratophryidae,Lepidobatrachus,Lepidobatrachus_laevis_Ceratophryidae,Semiaquatic,Free-living larvae,Absent,64.8,51.5,3.342544793,6.65
Conraua_crassipes,Conrauidae,Conraua,Conraua_crassipes_Conrauidae,Semiaquatic,Free-living larvae,Absent,55.43333333,21.36666667,2.736329803,7.716666667
Barycholos_pulcher,Craugastoridae,Barycholos,Barycholos_pulcher_Strabomantidae,Subfossorial,No free-living larvae,NA,24.3,1.966666667,1.251331896,3.133333333
Craugastor_fitzingeri,Craugastoridae,Craugastor,Craugastor_fitzingeri_Craugastoridae,Scansorial,No free-living larvae,Absent,39.26666667,5.933333333,1.720379085,5.133333333
Craugastor_podiciferus,Craugastoridae,Craugastor,Craugastor_podiciferus_Craugastoridae,Subfossorial,No free-living larvae,Absent,27.63333333,2.366666667,1.328962659,3.85
Oreobates_quixensis,Craugastoridae,Oreobates,Oreobates_quixensis_Strabomantidae,Ground-dwelling,No free-living larvae,Absent,43.7,10.7,2.082939529,6.933333333
Strabomantis_bufoniformis,Craugastoridae,Strabomantis,Strabomantis_bufoniformis_Strabomantidae,Ground-dwelling,No free-living larvae,Absent,28.4,2.75,1.398482818,4.825
Thoropa_miliaris,Cycloramphidae,Thoropa,Thoropa_miliaris_Cycloramphidae,Ground-dwelling,Free-living larvae,Absent,55.06666667,17.33333333,2.476031716,7.6
Dendrobates_auratus,Dendrobatidae,Dendrobates,Dendrobates_auratus_Dendrobatidae,Scansorial,Free-living larvae,Absent,31,2.766666667,1.390263462,3.85
Euphlyctis_cyanophlyctis,Dicroglossidae,Euphlyctis,Euphlyctis_cyanophlyctis_Dicroglossidae,Semiaquatic,Free-living larvae,Absent,48.7,12.76666667,2.327477327,5.816666667
Fejervarya_limnocharis,Dicroglossidae,Fejervarya,Fejervarya_limnocharis_Dicroglossidae,Semiaquatic,Free-living larvae,Absent,47.3,7.933333333,1.993895954,6.116666667
Hoplobatrachus_tigerinus,Dicroglossidae,Hoplobatrachus,Hoplobatrachus_tigerinus_Dicroglossidae,Semiaquatic,Free-living larvae,Present,105.7,125.9666667,4.892829829,12.48333333
Limnonectes_khasianus,Dicroglossidae,Limnonectes,Limnonectes_laticeps_Dicroglossidae,Semiaquatic,Free-living larvae,NA,39.5,7.85,1.987196998,6.125
Occidozyga_laevis,Dicroglossidae,Occidozyga,Occidozyga_laevis_Dicroglossidae,Aquatic,Free-living larvae,Absent,28.63333333,3.2,1.464267295,3.55
Occidozyga_lima,Dicroglossidae,Occidozyga,Occidozyga_lima_Dicroglossidae,Aquatic,Free-living larvae,Absent,25.86666667,3.033333333,1.446399163,3.266666667
Quasipaa_fasciculispina,Dicroglossidae,Quasipaa,Quasipaa_fasciculispina_Dicroglossidae,Semiaquatic,NA,Absent,107.5333333,135.3333333,5.1086894,15.15
Diasporus_diastema,Eleutherodactylidae,Diasporus,Diasporus_diastema_Eleutherodactylidae,Scansorial,No free-living larvae,Absent,17.9,0.966666667,0.987752962,2.916666667
Eleutherodactylus_coqui,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus_coqui_Eleutherodactylidae,Scansorial,No free-living larvae,Absent,28.05,2.35,1.329436011,4.425
Eleutherodactylus_marnockii,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus_marnockii_Eleutherodactylidae,Ground-dwelling,No free-living larvae,Absent,21.86666667,0.9,0.950194265,3.266666667
Eleutherodactylus_planirostris,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus_planirostris_Eleutherodactylidae,Ground-dwelling,No free-living larvae,Absent,21.83333333,1.233333333,1.072236674,3.066666667
Heleophryne_purcelli,Heleophrynidae,Heleophryne,Heleophryne_purcelli_Heleophrynidae,Semiaquatic,Free-living larvae,Present,41.25,6,1.817120593,6.225
Cryptobatrachus_boulengeri,Hemiphractidae,Cryptobatrachus,Cryptobatrachus_boulengeri_Hemiphractidae,Semiaquatic,No free-living larvae,NA,70.8,38,3.361975407,11.3
Flectonotus_fitzgeraldi,Hemiphractidae,Flectonotus,Flectonotus_fitzgeraldi_Hemiphractidae,Scansorial,Free-living larvae,Absent,21.16666667,0.7,0.886551478,3.683333333
Gastrotheca_cornuta,Hemiphractidae,Gastrotheca,Gastrotheca_cornuta_Hemiphractidae,Scansorial,No free-living larvae,Absent,73.7,27.5,3.015625122,11.2
Gastrotheca_pseustes,Hemiphractidae,Gastrotheca,Gastrotheca_pseustes_Hemiphractidae,Scansorial,Free-living larvae,Absent,44.3,8.333333333,2.022455291,6.3
Hemiphractus_bubalus,Hemiphractidae,Hemiphractus,Hemiphractus_bubalus_Hemiphractidae,Scansorial,No free-living larvae,NA,50.9,9,1.954230822,6.675
Stefania_evansi,Hemiphractidae,Stefania,Stefania_evansi_Hemiphractidae,Scansorial,No free-living larvae,Absent,59.825,15.575,2.433593997,8.6125
Hemisus_marmoratus,Hemisotidae,Hemisus,Hemisus_marmoratus_Hemisotidae,Fossorial,Free-living larvae,Absent,37.85,8,1.971448555,3.25
Acris_gryllus,Hylidae,Acris,Acris_gryllus_Hylidae,Ground-dwelling,Free-living larvae,Absent,20,0.866666667,0.947067388,2.816666667
Agalychnis_callidryas,Hylidae,Agalychnis,Agalychnis_callidryas_Hylidae,Scansorial,Free-living larvae,Absent,55.625,10,2.131358279,7.375
Aplastodiscus_albofrenatus,Hylidae,Aplastodiscus,Aplastodiscus_albofrenatus_Hylidae,Scansorial,NA,NA,38.1,2.6,1.375068867,5.4
Boana_fasciata,Hylidae,Boana,Hypsiboas_fasciatus_Hylidae,Scansorial,Free-living larvae,NA,37,3.766666667,1.526458762,5.783333333
Dendropsophus_parviceps,Hylidae,Dendropsophus,Dendropsophus_parviceps_Hylidae,Scansorial,Free-living larvae,Absent,22.43333333,1.2,1.062110522,3.616666667
Dryophytes_arenicolor,Hylidae,Dryophytes,Hyla_arenicolor_Hylidae,Ground-dwelling,Free-living larvae,Absent,30.9,2.766666667,1.343936479,4.516666667
Dryophytes_cinereus,Hylidae,Dryophytes,Hyla_cinerea_Hylidae,Scansorial,Free-living larvae,Present,41.9,4.633333333,1.662926872,4.366666667
Hyla_chinensis,Hylidae,Hyla,Hyla_chinensis_Hylidae,Scansorial,Free-living larvae,Absent,33.8,3,1.435134489,4.466666667
Osteocephalus_taurinus,Hylidae,Osteocephalus,Osteocephalus_taurinus_Hylidae,Scansorial,Free-living larvae,Absent,71.4,19.56666667,2.684557089,9.633333333
Pseudis_paradoxa,Hylidae,Pseudis,Pseudis_paradoxa_Hylidae,Aquatic,Free-living larvae,Absent,55.2,24.16666667,2.886642755,7.283333333
Scinax_ruber,Hylidae,Scinax,Scinax_ruber_Hylidae,Scansorial,Free-living larvae,Absent,38.8,4.233333333,1.617052624,4.95
Trachycephalus_typhonius,Hylidae,Trachycephalus,Trachycephalus_typhonius_Hylidae,Scansorial,Free-living larvae,Present,65.63333333,22.13333333,2.780755487,8.716666667
Hylodes_nasus,Hylodidae,Hylodes,Hylodes_nasus_Hylodidae,Ground-dwelling,Free-living larvae,NA,41.43333333,6,1.813342574,6.116666667
