Species,Ecomorph,Diet,ReproductiveMode,HeadLength,HeadWidth,HeadHeight,EyeDistance,TotalLength
Adelophis_foxi,Burrowing,annelids,Viviparous,12.56,6.6,5.43,4.01,105
Afronatrix_anoscopus_2,Aquatic,aquatic generalist,Oviparous,25.1,15.8,10.3,7.4,194
Amphiesma_beddomei,Terrestrial,anurans,Oviparous,15.06,7.82,5.4,4.85,106
Amphiesma_monticola,Terrestrial,anurans,Oviparous,20.105,9.13,6.61,5.85,185
Amphiesma_stolatum,Terrestrial,generalist,Oviparous,19.95,10.32,7.56,5.84,165
Amphiesma_stolatum_1,Terrestrial,generalist,Oviparous,18.81,9.82,5.8,5.42,155
Amphiesma_stolatum_2,Terrestrial,generalist,Oviparous,16.375,8.39,6.4,6,NA
Amphiesma_stolatum_3,Terrestrial,generalist,Oviparous,22.64,11.3,8.7,6.05,163
Amphiesma_stolatum_WII,Terrestrial,generalist,Oviparous,17.35,9.04,5.68,5.01,130
Amphiesmoides_ornaticeps,Semiaquatic,anurans,Oviparous,19.76,9.55,6.64,6.39,309
Aspidura_brachyorrhos,Burrowing,annelids,Oviparous,9.68,4.49,4.19,3.12,31
Aspidura_ceylonensis,Burrowing,annelids,Oviparous,10.43,4.03,3.24,3.34,62
Aspidura_copei,Burrowing,unknown,Oviparous,15.91,6.64,5.85,3.53,56
Aspidura_drummondhayi,Burrowing,annelids,Oviparous,9.75,4.9,4.41,2.27,35
Aspidura_guentheri,Burrowing,annelids,Oviparous,6.65,3.44,3.12,1.7,16
Aspidura_trachyprocta,Burrowing,annelids,Oviparous,12.38,6.84,4.55,3.44,23
Atretium_schistosum_2,Aquatic,aquatic generalist,Oviparous,23.87,10.34,8.27,6.53,NA
Blythia_reticulata,Burrowing,annelids,Oviparous,13.16,5.4,4.36,3.86,33
Clonophis_kirtlandii,Semiaquatic,generalist,Viviparous,14.82,8.82,5.97,5.21,81
Fowlea_asperrimus,Aquatic,aquatic generalist,Oviparous,23.97,13.3,9.84,7.29,169
Fowlea_flavipunctatus,Aquatic,aquatic generalist,Oviparous,18.135,10.26,7.89,6.13,134
Fowlea_flavipunctatus_1,Aquatic,aquatic generalist,Oviparous,24.35,12.68,9.94,6.7,170
Fowlea_flavipunctatus_2,Aquatic,aquatic generalist,Oviparous,23.375,11.63,9.57,6.85,NA
Fowlea_melanzostus,Aquatic,aquatic generalist,Oviparous,24.5,11.58,8.39,5.98,147
Fowlea_piscator_2,Aquatic,aquatic generalist,Oviparous,24.695,12.15,9.16,7.03,130
Fowlea_punctulatus,Aquatic,unknown,Oviparous,20.185,10.07,7.07,6.31,117
Fowlea_sanctijohannis,Aquatic,aquatic generalist,Oviparous,21,10.89,8.16,6.29,180
Fowlea_schnurrenbergeri,Aquatic,aquatic generalist,Oviparous,25.005,12.92,9.58,7.25,137
Fowlea_sp2,Aquatic,aquatic generalist,Oviparous,45.495,27.28,16.87,11.8,NA
Fowlea_tytleri,Aquatic,aquatic generalist,Oviparous,34.785,17.52,12.47,7.81,222
Fowlea_yunnanensis,Aquatic,aquatic generalist,Oviparous,29.005,15.58,11.03,8.07,NA
Haldea_striatula,Burrowing,annelids,Viviparous,8.7,5.24,3.58,2.71,38
Hebius_annamensis,Semiaquatic,unknown,NA,13.63,7.62,4.48,4.35,154
Hebius_atemporale_1,Terrestrial,unknown,Oviparous,11.785,6.09,3.88,4.18,NA
Hebius_bitaeniatum_4,Terrestrial,anurans,Oviparous,14.44,6.18,5.08,4.17,115
Hebius_boulengeri_2,Terrestrial,unknown,Oviparous,17.44,9.99,5.58,5.36,NA
Hebius_celabicus,Semiaquatic,unknown,Oviparous,15.145,7.58,5.13,5.06,NA
Hebius_chapaensis,Semiaquatic,unknown,Oviparous,18.285,9.67,5.97,6.05,NA
Hebius_clerki,Semiaquatic,unknown,Oviparous,20.245,10.38,6.41,5.75,NA
Hebius_craspedogaster_2,Semiaquatic,anurans,Oviparous,16.165,8.79,5.88,5.11,167
Hebius_flavifrons,Semiaquatic,generalist,Oviparous,16.41,8.17,6.64,5.29,185
Hebius_groundwateri,Semiaquatic,unknown,Oviparous,12.035,6.66,3.91,3.95,166
Hebius_inas,Semiaquatic,unknown,Oviparous,12.235,6.99,4.05,3.9,122
Hebius_johannis,Semiaquatic,fish,Oviparous,26.61,14.61,9.61,7.56,NA
Hebius_khasiense_1,Semiaquatic,generalist,Oviparous,14.93,6.69,4.76,4.44,182
Hebius_metusium,Semiaquatic,unknown,Oviparous,21.71,11.01,6.48,6.46,NA
Hebius_modestum,Terrestrial,anurans,Oviparous,18.11,9.73,6.11,5.65,164
Hebius_octolineatum_3,Terrestrial,anurans,Oviparous,18.975,8.61,6.92,5.62,193
Hebius_optatum_1,Semiaquatic,fish,Oviparous,17.205,7,5.55,5.44,NA
Hebius_parallelum,Semiaquatic,generalist,Oviparous,16.21,7.57,5.45,4.38,96
Hebius_petersi,Semiaquatic,lizards,Oviparous,18.31,9.46,6.73,5.83,NA
Hebius_pryeri_2,Semiaquatic,generalist,Oviparous,25.135,12.39,9.62,7.83,NA
Hebius_sanguinea,Semiaquatic,unknown,Oviparous,16.15,8.64,5.28,4.79,180
Hebius_sarasinorum,Semiaquatic,lizards,Oviparous,12.005,6.07,4.38,4.11,61
Hebius_sarawacensis,Semiaquatic,generalist,Oviparous,19.94,10,7.63,5.91,194
Hebius_sauteri_1,Terrestrial,generalist,Oviparous,13.87,7.37,4.59,4.65,120
Hebius_venningi_2,Semiaquatic,anurans,Oviparous,19.14,11.85,5.57,5.04,236
Hebius_vibakari_1,Terrestrial,generalist,Oviparous,15.515,7.62,5.29,4.9,115
Hebius_vibakari_2,Terrestrial,generalist,Oviparous,16.225,8.68,5.47,5.18,120
Hebius_vibakari_ruthveni,Terrestrial,generalist,Oviparous,15.81,6,5.54,4.63,119
Helophis_schoutedeni,Aquatic,unknown,NA,21,12.6,9.5,5.9,75
Herpetoreas_sieboldi,Terrestrial,lizards,NA,19.325,8.22,6.17,5.73,177
Herpetoreas_pealii,Semiaquatic,unknown,NA,15.515,7.27,5.23,5.03,117
Herpetoreas_platyceps,Terrestrial,lizards,Oviparous,16.48,7.68,5.83,5.3,134
Herpetoreas_sp1,Terrestrial,generalist,Oviparous,17.75,9.65,5.88,5.67,NA
Herpetoreas_xenura,Terrestrial,generalist,Oviparous,19.675,10.37,6.31,5.91,186
Hydrablabes_periops,Aquatic Burrowing,unknown,Oviparous,11.165,6.56,3.99,4.33,94
Hydrablabes_prafrontalis,Aquatic Burrowing,unknown,Oviparous,13.005,7.36,3.95,4.26,93
Hydraethiops_laevis,Aquatic,unknown,Oviparous,13.7,7.5,4.3,3.9,77
Hydraethiops_melanogaster,Aquatic,aquatic generalist,Oviparous,20.1,11.7,8.1,5.7,115
Isanophis_boonsongi,Aquatic,aquatic generalist,Oviparous,25.34,14.36,10.43,8.2,102
Limnophis_bangweolicus,Aquatic,aquatic generalist,Oviparous,18.1,6.9,5.7,4.6,114
Limnophis_bicolor,Aquatic,aquatic generalist,Oviparous,23.1,13.1,10.8,5.6,103
Liodytes_alleni,Aquatic,crayfish,Oviparous,18.46,7.82,7.18,4.28,109
Liodytes_pygaea,Aquatic,aquatic generalist,Viviparous,12.965,8.35,4.69,3.53,53
Liodytes_rigida,Aquatic,crayfish,Viviparous,18.835,9.92,7.03,5.4,128
Lycognathophis_seychellensis,Terrestrial,lizards,Oviparous,19.1,10.3,6.5,5.8,200
Natriciteres_fuliginoides,Semiaquatic,anurans,Oviparous,14.4,7.4,4.4,3.8,NA
Natriciteres_olivacea_1,Semiaquatic,generalist,Oviparous,18.1,9.5,6.6,5.1,115
Natriciteres_sylvatica_1,Semiaquatic,generalist,Oviparous,12.2,5.6,4,3.3,111
Natrix_astreptophora,Semiaquatic,generalist,Oviparous,23.505,12.09,7.5,7.14,196
Natrix_cetti,Semiaquatic,generalist,Oviparous,23.96,14.53,8.23,7.91,160
