Site,Abundance,Species
site01,5,Bulbasaur
site01,3,Charmander
site02,6,Pidgey
site02,6,Rattata
site02,1,Spearow
site03,1,Bulbasaur
site03,1,Charmander
site03,1,Pidgey
site03,10,Rattata
site03,1,Spearow
site03,1,Pikachu
site04,1,Pikachu
site04,2,Charmander
site05,3,Squirtle
site05,2,Caterpie
site05,4,Pidgey
site05,3,Rattata
site06,1,Psyduck
site07,3,Bulbasaur
site07,3,Charmander
site07,3,Squirtle
site07,3,Caterpie
site07,3,Pidgey
site07,3,Rattata
site07,3,Spearow
site08,5,Bulbasaur
site08,5,Caterpie
site09,10,Squirtle
site10,3,Pidgey
site10,6,Charmander
site10,2,Zubat
