genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Acris_gryllus,Anura,Hylidae,Acris,gryllus,Acris_gryllus_Hylidae,22.6,1.1,1.032280115,3.3,2.3,2.8,3.1,2.5,2.8,Ground-dwelling,Both,Lentic water,Free-living larvae,Lentic water,Absent
Acris_gryllus,Anura,Hylidae,Acris,gryllus,Acris_gryllus_Hylidae,20.7,0.9,0.965489385,3.1,2.8,2.95,2.3,2.2,2.25,Ground-dwelling,Both,Lentic water,Free-living larvae,Lentic water,Absent
Acris_gryllus,Anura,Hylidae,Acris,gryllus,Acris_gryllus_Hylidae,16.7,0.6,0.843432665,2.9,2.5,2.7,2,2.3,2.15,Ground-dwelling,Both,Lentic water,Free-living larvae,Lentic water,Absent
Adenomus_kelaartii,Anura,Bufonidae,Adenomus,kelaartii,Adenomus_kelaartii_Bufonidae,41,6.2,1.83709055,NA,4.6,4.6,NA,3.9,3.9,Subfossorial,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Adenomus_kelaartii,Anura,Bufonidae,Adenomus,kelaartii,Adenomus_kelaartii_Bufonidae,41.7,6.5,1.866255578,4.7,4.7,4.7,3.8,4.2,4,Subfossorial,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Afrixalus_dorsalis,Anura,Hyperoliidae,Afrixalus,dorsalis,Afrixalus_dorsalis_Hyperoliidae,25.8,1.5,1.144714243,3.7,3.8,3.75,2.9,3,2.95,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Afrixalus_dorsalis,Anura,Hyperoliidae,Afrixalus,dorsalis,Afrixalus_dorsalis_Hyperoliidae,24.7,1.3,1.091392883,3.6,3.5,3.55,2.8,2.7,2.75,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Afrixalus_dorsalis,Anura,Hyperoliidae,Afrixalus,dorsalis,Afrixalus_dorsalis_Hyperoliidae,25.4,1.3,1.091392883,3.5,3.8,3.65,2.7,2.8,2.75,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_callidryas,Anura,Hylidae,Agalychnis,callidryas,Agalychnis_callidryas_Hylidae,48.9,7,1.912931183,7.4,7.2,7.3,5.7,5.3,5.5,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_callidryas,Anura,Hylidae,Agalychnis,callidryas,Agalychnis_callidryas_Hylidae,49.1,7,1.912931183,6.3,6.8,6.55,4.8,5.2,5,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_callidryas,Anura,Hylidae,Agalychnis,callidryas,Agalychnis_callidryas_Hylidae,62.5,14,2.410142264,8.3,7.8,8.05,5.8,5.9,5.85,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_callidryas,Anura,Hylidae,Agalychnis,callidryas,Agalychnis_callidryas_Hylidae,62,12,2.289428485,7.7,7.5,7.6,5.3,5.3,5.3,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_dacnicolor,Anura,Phyllomedusidae,Agalychnis,dacnicolor,Agalychnis_dacnicolor_Hylidae,77.6,30.1,3.110681158,8.7,8.3,8.5,6.7,6.6,6.65,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_dacnicolor,Anura,Phyllomedusidae,Agalychnis,dacnicolor,Agalychnis_dacnicolor_Hylidae,70,17.9,2.615879154,8.1,8.6,8.35,7.3,7.2,7.25,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Agalychnis_dacnicolor,Anura,Phyllomedusidae,Agalychnis,dacnicolor,Agalychnis_dacnicolor_Hylidae,95,18.1,2.625585659,8.9,9.6,9.25,6.7,7,6.85,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Aglyptodactylus_madagascariensis,Anura,Mantellidae,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,43.9,9.1,2.087759479,6,6.3,6.15,4.9,4.7,4.8,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Aglyptodactylus_madagascariensis,Anura,Mantellidae,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,50.1,13.3,2.369284502,7.8,7.3,7.55,6.1,5.3,5.7,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Aglyptodactylus_madagascariensis,Anura,Mantellidae,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,33.9,3.5,1.518294486,4.8,4.8,4.8,4.3,4.2,4.25,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Allobates_femoralis,Anura,Aromobatidae,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,29.1,2.9,1.426043147,4.8,4.8,4.8,4.4,4.6,4.5,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allobates_femoralis,Anura,Aromobatidae,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,20.9,1,1,3.8,3.7,3.75,3.4,3.3,3.35,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allobates_femoralis,Anura,Aromobatidae,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,26.8,2.4,1.3388659,3.9,3.7,3.8,3,3,3,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allophryne_ruthveni,Anura,Allophrynidae,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,22.8,0.8,0.928317767,3,2.8,2.9,2.6,2.2,2.4,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
Allophryne_ruthveni,Anura,Allophrynidae,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,26,1.4,1.118688942,3.6,3.6,3.6,2.6,2.6,2.6,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
Allophryne_ruthveni,Anura,Allophrynidae,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,22.5,0.8,0.928317767,3.2,3,3.1,2.4,2.3,2.35,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
